URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalSimplePresentTeethObservation_VS,1.2.0,active,,JP_DentalSimplePresentTeethObservation_VS,JP Core Dental SimplePresentTeethObservation ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する現存歯の観察結果コード（簡易版）","StructureDefinition/jp-observation-dentaloral-toothtreatmentcondition","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalSurfaceBodyStructure_VS,1.2.0,active,,JP_DentalSurfaceBodyStructure_VS,JP Core Dental SurfaceBodyStructure ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する歯面に関連する詳細部位構造コード","StructureDefinition/jp-observation-dentaloral-ecs,StructureDefinition/jp-observation-dentaloral-toothsurface","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_DentalTeethObservation_VS,1.2.0,active,,JP_DentalTeethObservation_VS,JP Core Dental TeethObservation ValueSet,"JP Coreにて定義した歯科のObservationリソースに関する歯面の詳細部位構造コード","StructureDefinition/jp-observation-dentaloral-ecs","Internal"
http://jpfhir.jp/fhir/core/ValueSet/JP_Department_SsMix_VS,1.1.0a,active,,JP_Department_SsMix_VS,JP Core Department SS-MIX ValueSet,"SS-MIX統一診療科コードの値セット","StructureDefinition/jp-medicationadministration-requestdepartment","jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_DiagnosticReportCategory_VS,1.1.0,active,,JP_DiagnosticReportCategory_VS,JP Core Diagnostic Report Category ValueSet,"DiagnosticReportカテゴリ 値セット","StructureDefinition/jp-diagnosticreport-endoscopy,StructureDefinition/jp-diagnosticreport-dentaloral,StructureDefinition/jp-diagnosticreport-microbiology,StructureDefinition/jp-diagnosticreport-labresult,StructureDefinition/jp-diagnosticreport-radiology","LOINC"
http://jpfhir.jp/fhir/core/ValueSet/JP_DocumentCodes_DiagnosticReport_VS,1.1.0,active,,JP_DocumentCodes_DiagnosticReport_VS,JP Core Document Codes DiagnosticReport ValueSet,"Document Codes DiagnosticReport 値セット","StructureDefinition/jp-diagnosticreport-common","jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_DocumentCodes_Endoscopy_VS,1.1.0,active,,JP_DocumentCodes_Endoscopy_VS,JP Core Document Codes Endoscopy ValueSet,"Document Codes Endoscopy 値セット","StructureDefinition/jp-diagnosticreport-endoscopy","jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_ImagingStudy_Radiology_BodySite_VS,1.2.0,active,,JP_ImagingStudy_Radiology_BodySite_VS,JP Core ImagingStudy Radiology BodySite ValueSet,"放射線検査画像の対象となる身体部位のコード",,"jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_MedicalFeeScoreType_VS,1.1.0a,active,,JP_MedicalFeeScoreType_VS,JP Core MedicalFeeScoreType ValueSet,"診療報酬点数区分値セット","StructureDefinition/jp-organization-insuranceorganizationcategory","jpfhir-terminology"
http://jpfhir.jp/fhir/core/ValueSet/JP_MedicalLicenseCertificate_VS,1.1.0,active,,JP_MedicalLicenseCertificate_VS,JP Core MedicalLicense Certificate ValueSet,"医療関連免許証明に関する値セット","StructureDefinition/jp-practitioner","jpfhir-terminology"
